StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
62685,87085,161561, , ,,,17.79494454,-35.22217561,335.5704698,7.59,-0.03891868,B8II        ,-0.001
62812,87246,162010, , ,,,17.8265605,-20.00667876,160,7.59,1.569400087,A3V         ,0.196
63070,87593,163130, , ,,,17.89338098,24.77718193,137.3626374,7.59,1.900656897,F0          ,0.33
63274,87860,163611, , ,,,17.94788304,4.9874105,71.53075823,7.59,3.317535857,F4Vvar      ,0.449
63542,88239,164898, , ,,,18.01865655,45.35085953,142.4501425,7.59,1.821685561,B9          ,0.088
63661,88409,164700, , ,,,18.05168431,-17.41384919,456.6210046,7.59,-0.707779426,B3III       ,0.134
64296,89252,166958, , ,,,18.21361143,5.82249814,173.0103806,7.59,1.399639192,B9          ,0.144
64376,89360,167491, , ,,,18.23468317,31.53985391,79.6812749,7.59,3.083218629,F2          ,0.41
64430,89430,166653, , ,,,18.25235911,-57.8541372,49.70178926,7.59,4.108139882,G2V         ,0.586
64718,89816,168432, , ,,,18.33002926,-4.96170384,60.97560976,7.59,3.66421924,G0+...      ,0.566
64920,90081,168936, , ,,,18.38358704,-17.67703124,1030.927835,7.59,-2.476141329,A1IIp...    ,0.14
66013,91534,171548, , ,,,18.66753646,-64.72565378,152.9051988,7.59,1.667888742,A3/A4IV/V   ,0.188
66338,91965,173064, , ,,,18.74506734,-29.98016602,724.6376812,7.59,-1.710604568,K5III       ,1.687
66810,92598,174963, , ,,,18.86860645,27.26016627,96.15384615,7.59,2.675166696,A5          ,0.342
67287,93208,176141, , ,,,18.98548296,-8.97047248,81.10300081,7.59,3.044815383,F5          ,0.471
67551,93539,176555, , ,,,19.05146799,-45.71170637,10000000,7.59,-7.41,B9III:      ,-0.078
67743,93777,178030, , ,,,19.0978772,29.11336982,478.4688995,7.59,-0.809268569,A0          ,-0.007
67799,93851,178352, , ,,,19.113512,36.12810292,215.0537634,7.59,0.927264764,K0          ,1.079
67984,94097,178973, , ,,,19.15500654,32.86896575,315.4574132,7.59,0.095296311,K0          ,1.239
68522,94810,180938, , ,,,19.29193985,25.23829001,293.255132,7.59,0.253771895,A0          ,0.059
68681,95017,181365, , ,,,19.33363708,5.58768912,283.286119,7.59,0.328873527,G5          ,0.731
